question,option_a,option_b,option_c,option_d,correct_option,subject,difficulty
What is the SI base unit of mass?,Kilogram,Gram,Pound,Newton,A,Physics,Easy
What is the SI base unit of thermodynamic temperature?,Celsius,Kelvin,Fahrenheit,Rankine,B,Physics,Easy
Which of the following physical quantities is a vector?,Mass,Temperature,Velocity,Energy,C,Physics,Easy
How is average speed defined in physics?,Displacement divided by time,Change in velocity over time,Mass multiplied by acceleration,Total distance divided by total time,D,Physics,Easy
What does the area under a velocity-time graph represent?,Displacement,Acceleration,Force,Momentum,A,Physics,Easy
What is the approximate acceleration due to gravity on the surface of Earth?,9.8 cm/s^2,9.8 m/s^2,9.8 km/s^2,9.8 mm/s^2,B,Physics,Easy
"If an object is dropped from rest in a vacuum, its initial velocity is?",9.8 m/s,Depends on mass,0 m/s,Terminal velocity,C,Physics,Easy
Which angle of projection provides the maximum horizontal range for a projectile in a vacuum?,30 degrees,60 degrees,90 degrees,45 degrees,D,Physics,Easy
"In circular motion, which direction does the centripetal force point?",Toward the center of the circle,Away from the center,Tangent to the path,Downward,A,Physics,Easy
Which of Newton's laws states that an object in motion stays in motion unless acted upon by a net force?,Newton's Second Law,Newton's First Law,Newton's Third Law,Law of Universal Gravitation,B,Physics,Easy
What is the formula for calculating net force according to Newton's Second Law?,F = m/a,F = v/t,F = ma,F = mgh,C,Physics,Easy
"For every action, there is an equal and opposite reaction. Which law is this?",Newton's First Law,Newton's Second Law,Law of Conservation of Energy,Newton's Third Law,D,Physics,Easy
What is the difference between mass and weight?,Weight is a force depending on gravity while mass is constant,Mass is a force depending on gravity while weight is constant,They are exactly the same in all reference frames,Mass is measured in Newtons and weight in kilograms,A,Physics,Easy
Which type of friction generally acts on an object sliding across a surface?,Static friction,Kinetic friction,Rolling friction,Fluid friction,B,Physics,Easy
What is the SI unit of work?,Newton,Watt,Joule,Pascal,C,Physics,Easy
"If a force is applied perpendicular to the direction of motion, how much work is done?",Maximum work,Negative work,Half of the maximum work,Zero work,D,Physics,Easy
What type of energy is associated with an object's motion?,Kinetic energy,Potential energy,Thermal energy,Chemical energy,A,Physics,Easy
What is the formula for gravitational potential energy near Earth's surface?,1/2 mv^2,mgh,Fd,mc^2,B,Physics,Easy
"What states that energy cannot be created or destroyed, only transformed?",Law of Conservation of Momentum,Newton's First Law,Law of Conservation of Energy,Work-Energy Theorem,C,Physics,Easy
How is mechanical power defined?,Force times distance,Work done divided by velocity,Energy multiplied by time,Rate at which work is done,D,Physics,Easy
What is the SI unit of power?,Watt,Joule,Newton,Ampere,A,Physics,Easy
How is linear momentum calculated?,m/v,mv,1/2 mv^2,ma,B,Physics,Easy
What is defined as the change in momentum of an object?,Work,Power,Impulse,Acceleration,C,Physics,Easy
In which type of collision is kinetic energy completely conserved?,Inelastic collision,Perfectly inelastic collision,Explosive collision,Elastic collision,D,Physics,Easy
Where is the center of mass of a uniform solid sphere located?,At its exact geometric center,On its surface,Halfway between the center and the surface,It depends on its rotation,A,Physics,Easy
What is the rotational equivalent of force?,Angular momentum,Torque,Moment of inertia,Angular velocity,B,Physics,Easy
Which property represents an object's resistance to changes in its rotational motion?,Mass,Torque,Moment of inertia,Angular acceleration,C,Physics,Easy
How is the density of a substance calculated?,Mass times volume,Weight divided by volume,Volume divided by mass,Mass divided by volume,D,Physics,Easy
What is the SI unit of pressure?,Pascal,Newton,Joule,Watt,A,Physics,Easy
What states that pressure applied to an enclosed fluid is transmitted undiminished to every portion of the fluid?,Archimedes' principle,Pascal's principle,Bernoulli's principle,Torricelli's law,B,Physics,Easy
Which principle explains the buoyant force acting on a submerged object?,Pascal's principle,Bernoulli's principle,Archimedes' principle,Boyle's law,C,Physics,Easy
What happens to the speed of an ideal fluid when it flows through a narrower pipe?,It decreases,It fluctuates,It drops to zero,It increases,D,Physics,Easy
"Which equation relates the pressure, velocity, and height of a steady, incompressible fluid flow?",Bernoulli's equation,Continuity equation,Poiseuille's equation,Stokes' law,A,Physics,Easy
What is absolute zero on the Celsius scale?,-100 degrees Celsius,-273.15 degrees Celsius,0 degrees Celsius,-32 degrees Celsius,B,Physics,Easy
Which phase change refers to a solid turning directly into a gas?,Melting,Condensation,Sublimation,Vaporization,C,Physics,Easy
What is the specific heat capacity of a substance?,The total heat in a system,The temperature at which it boils,The energy required to change state,The energy required to raise the temperature of 1 kg by 1 K,D,Physics,Easy
What term describes heat transfer through direct physical contact?,Conduction,Convection,Radiation,Induction,A,Physics,Easy
Which method of heat transfer does not require a physical medium?,Conduction,Radiation,Convection,Evaporation,B,Physics,Easy
What does Boyle's law state for an ideal gas at constant temperature?,Volume is directly proportional to pressure,Volume is directly proportional to temperature,Pressure is inversely proportional to volume,Pressure is directly proportional to volume,C,Physics,Easy
Which thermodynamic process occurs at a constant temperature?,Isobaric,Isochoric,Adiabatic,Isothermal,D,Physics,Easy
What is the SI unit of electric charge?,Coulomb,Ampere,Volt,Ohm,A,Physics,Easy
Which subatomic particle carries a fundamental negative charge?,Proton,Electron,Neutron,Photon,B,Physics,Easy
How do opposite electric charges interact?,They repel each other,They have no effect on each other,They attract each other,They begin to rotate,C,Physics,Easy
What is the SI unit of electric potential difference?,Ampere,Ohm,Coulomb,Volt,D,Physics,Easy
Which device is used to store electric charge and electrical energy?,Capacitor,Resistor,Inductor,Diode,A,Physics,Easy
What is the SI unit of electrical resistance?,Farad,Ohm,Henry,Tesla,B,Physics,Easy
"In a series circuit, what remains constant across all components?",Voltage,Resistance,Power,Current,D,Physics,Easy
"In a parallel circuit, what remains constant across all branches?",Voltage,Current,Resistance,Power,A,Physics,Easy
What is the rate of flow of electric charge called?,Electric current,Voltage,Electric potential,Resistance,B,Physics,Easy
Which particle is responsible for carrying the current in solid metal wires?,Protons,Neutrons,Electrons,Positrons,C,Physics,Easy
What is the SI unit of magnetic field strength?,Weber,Gauss,Henry,Tesla,D,Physics,Easy
Where is the magnetic field of a bar magnet the strongest?,At its poles,In its exact center,Outside its magnetic field lines,It is uniform everywhere,A,Physics,Easy
What happens if you break a bar magnet in half?,One half becomes exclusively North and the other South,"You get two smaller magnets, each with a North and South pole",The magnetic field is completely destroyed,The pieces become unmagnetized iron,B,Physics,Easy
Which law relates an induced electromotive force (EMF) to a changing magnetic flux?,Ampere's Law,Ohm's Law,Faraday's Law,Coulomb's Law,C,Physics,Easy
What defines a simple harmonic oscillator?,Its acceleration is constant,Its velocity is directly proportional to time,Its acceleration is zero,Its restoring force is directly proportional to displacement,D,Physics,Easy
What is the SI unit of frequency?,Hertz,Joule,Second,Meter per second,A,Physics,Easy
What is the distance between two consecutive crests of a wave called?,Amplitude,Wavelength,Period,Frequency,B,Physics,Easy
Which type of wave requires a medium to propagate?,Electromagnetic waves,Light waves,Mechanical waves,Microwaves,C,Physics,Easy
Sound travels fastest through which type of medium?,Vacuum,Gas,Liquid,Solid,D,Physics,Easy
What determines the pitch of a sound wave?,Frequency,Amplitude,Speed,Wavelength,A,Physics,Easy
What phenomenon causes a wave to bend as it passes from one medium into another?,Reflection,Refraction,Diffraction,Interference,B,Physics,Easy
"According to the law of reflection, how does the angle of incidence compare to the angle of reflection?",It is always greater,It is always smaller,It is exactly equal,It depends on the material,C,Physics,Easy
Which type of mirror curves inward like a cave?,Convex mirror,Plane mirror,Cylindrical mirror,Concave mirror,D,Physics,Easy
Which type of lens is thicker in the middle than at the edges?,Converging lens,Diverging lens,Plano-concave lens,Biconcave lens,A,Physics,Easy
What is the speed of light in a vacuum?,3 x 10^5 m/s,3 x 10^8 m/s,3 x 10^10 m/s,3 x 10^6 m/s,B,Physics,Easy
Which phenomenon explains why light separates into colors when passing through a prism?,Diffraction,Interference,Dispersion,Polarization,C,Physics,Easy
Which particle is located in the nucleus of an atom and has a positive charge?,Electron,Neutrino,Photon,Proton,D,Physics,Easy
What is an isotope?,Atoms of the same element with different numbers of neutrons,Atoms of different elements with the same mass,Atoms with differing numbers of protons,Molecules with identical chemical formulas,A,Physics,Easy
What type of radioactive decay involves the emission of a helium nucleus?,Beta decay,Alpha decay,Gamma decay,Neutron emission,B,Physics,Easy
Which type of radiation is an electromagnetic wave of very high frequency?,Alpha radiation,Beta radiation,Gamma radiation,Microwave radiation,C,Physics,Easy
What is the term for the time required for half of a radioactive sample to decay?,Mean life,Decay constant,Average lifetime,Half-life,D,Physics,Easy
Which subatomic particle has no electric charge?,Neutron,Electron,Proton,Positron,A,Physics,Easy
Who proposed the photon theory of light to explain the photoelectric effect?,Niels Bohr,Albert Einstein,Isaac Newton,Max Planck,B,Physics,Easy
What is the splitting of a heavy atomic nucleus into lighter nuclei called?,Fusion,Beta decay,Nuclear fission,Alpha decay,C,Physics,Easy
Which process powers the Sun and other stars?,Fission,Radioactive decay,Combustion,Nuclear fusion,D,Physics,Easy
What fundamental force is responsible for holding the nucleus together?,Strong nuclear force,Electromagnetic force,Weak nuclear force,Gravitational force,A,Physics,Easy
Which state of matter has a definite volume but takes the shape of its container?,Liquid,Solid,Gas,Plasma,B,Physics,Easy
What is the standard unit of energy in atomic physics?,Joule,Erg,Electron-volt,Calorie,C,Physics,Easy
Which electromagnetic waves have the longest wavelength?,X-rays,Gamma rays,Visible light,Radio waves,D,Physics,Easy
What happens to the resistance of an ideal superconductor below its critical temperature?,It drops to zero,It becomes infinite,It doubles,It remains unchanged,A,Physics,Easy
What term describes a material that strongly opposes the flow of electric current?,Conductor,Insulator,Semiconductor,Superconductor,B,Physics,Easy
Which of the following is an example of a semiconductor?,Copper,Iron,Silicon,Glass,C,Physics,Easy
What is the primary function of a transformer?,To change AC voltage levels,To convert AC to DC,To store electric charge,To generate direct current,A,Physics,Easy
"In an ideal gas, the absolute temperature is directly proportional to which microscopic property?",Average kinetic energy of molecules,Total volume of the gas,Average potential energy of molecules,Total mass of the molecules,A,Physics,Easy
What is the magnitude of the elementary charge e?,1.6 x 10^-19 C,1.6 x 10^-19 J,6.02 x 10^23 C,9.1 x 10^-31 C,A,Physics,Easy
What instrument is primarily used to measure electric current?,Voltmeter,Ohmmeter,Ammeter,Barometer,C,Physics,Easy
Which quantity is conserved in every isolated physical system?,Kinetic Energy,Velocity,Temperature,Total Energy,D,Physics,Easy
What is the primary difference between a transverse and a longitudinal wave?,A transverse wave travels in a vacuum while a longitudinal wave cannot,The direction of particle oscillation relative to wave propagation,A longitudinal wave has an amplitude while a transverse wave does not,Transverse waves only occur in gases,B,Physics,Easy
What prefix is used in the SI system to denote 10^-6?,Milli,Nano,Micro,Pico,C,Physics,Easy
A car travels 120 km in 2 hours. What is its average speed in km/h?,120,240,30,60,D,Physics,Medium
A train accelerates uniformly from 10 m/s to 30 m/s in 10 seconds. What is the acceleration?,2 m/s^2,4 m/s^2,20 m/s^2,3 m/s^2,A,Physics,Medium
An object is dropped from a 45 m tall building. Approximately how long does it take to hit the ground? (Use g = 10 m/s^2),2 seconds,3 seconds,4 seconds,4.5 seconds,B,Physics,Medium
A projectile is launched horizontally at 20 m/s from a height of 20 m. What is its horizontal range? (Use g = 10 m/s^2),20 m,30 m,40 m,60 m,C,Physics,Medium
A car moves in a circle of radius 50 m at a constant speed of 20 m/s. What is its centripetal acceleration?,5 m/s^2,10 m/s^2,2 m/s^2,8 m/s^2,D,Physics,Medium
A 5 kg block is pushed with a net force of 15 N. What is its acceleration?,3 m/s^2,10 m/s^2,75 m/s^2,0.33 m/s^2,A,Physics,Medium
A 1000 kg elevator is accelerating upward at 2 m/s^2. What is the tension in the cable? (Use g = 10 m/s^2),10000 N,12000 N,8000 N,2000 N,B,Physics,Medium
A force of 50 N is applied at an angle of 60 degrees to the horizontal to move a block 4 meters. What is the work done?,200 J,173 J,100 J,50 J,C,Physics,Medium
A 2 kg object has 100 J of kinetic energy. What is its velocity?,5 m/s,14 m/s,50 m/s,10 m/s,D,Physics,Medium
A 500 W motor runs for 1 minute. How much work does it do?,30000 J,500 J,8.33 J,3000 J,A,Physics,Medium
A 3 kg mass moving at 4 m/s collides and sticks to a 1 kg mass at rest. What is their final velocity?,2 m/s,3 m/s,4 m/s,1.5 m/s,B,Physics,Medium
A wrench 0.5 m long is used to apply a 40 N force perpendicularly. What is the torque?,80 Nm,10 Nm,20 Nm,40 Nm,C,Physics,Medium
A solid disk (I = 1/2 MR^2) of mass 2 kg and radius 1 m rolls without slipping at 3 m/s. What is its total kinetic energy?,9 J,4.5 J,18 J,13.5 J,D,Physics,Medium
"An ice skater spinning with arms outstretched brings them in, halving her moment of inertia. What happens to her angular velocity?",It doubles,It halves,It stays the same,It quadruples,A,Physics,Medium
A block of wood floats with 60% of its volume submerged in water (density 1000 kg/m^3). What is the density of the wood?,400 kg/m^3,600 kg/m^3,1000 kg/m^3,1600 kg/m^3,B,Physics,Medium
Water flows through a pipe of radius 2 cm at 5 m/s. It enters a section of radius 1 cm. What is the new velocity?,10 m/s,2.5 m/s,20 m/s,40 m/s,C,Physics,Medium
How much heat is required to raise the temperature of 2 kg of water by 10 degrees Celsius? (c = 4186 J/kg C),41860 J,83720 J,4186 J,8372 J,D,Physics,Medium
An ideal gas at 300 K is heated at constant volume until its pressure doubles. What is the new temperature?,600 K,150 K,300 K,900 K,A,Physics,Medium
What is the maximum theoretical efficiency of a Carnot engine operating between 600 K and 300 K?,25%,75%,50%,100%,C,Physics,Medium
What is the electric field strength 3 meters away from a 1 nC point charge? (k = 9 x 10^9),1 V/m,3 V/m,9 V/m,0.33 V/m,A,Physics,Medium
A charge of 2 C is moved through a potential difference of 10 V. How much work is done?,20 J,5 J,0.2 J,10 J,B,Physics,Medium
Two 4 microfarad capacitors are connected in series. What is the equivalent capacitance?,8 microfarads,16 microfarads,2 microfarads,0.5 microfarads,C,Physics,Medium
A 12 V battery is connected to a 4 ohm resistor. What is the power dissipated?,3 W,48 W,12 W,36 W,D,Physics,Medium
Three 6 ohm resistors are connected in parallel. What is the total equivalent resistance?,2 ohms,18 ohms,3 ohms,1.5 ohms,A,Physics,Medium
A wire of resistance R is stretched to twice its original length without changing its volume. What is its new resistance?,2R,4R,R/2,R/4,B,Physics,Medium
An electron moves at 10^6 m/s perpendicular to a 2 T magnetic field. What is the magnitude of the magnetic force? (e = 1.6 x 10^-19 C),3.2 x 10^-13 N,1.6 x 10^-13 N,3.2 x 10^-19 N,0 N,C,Physics,Medium
A straight wire carrying 5 A of current is in a uniform 0.4 T magnetic field. What is the force per unit length if they are perpendicular?,12.5 N/m,0.08 N/m,1.25 N/m,2.0 N/m,D,Physics,Medium
A coil with 100 turns and an area of 0.1 m^2 experiences a magnetic field changing at 0.5 T/s. What is the induced EMF?,5 V,50 V,0.5 V,20 V,A,Physics,Medium
"A step-down transformer has 1000 primary turns and 100 secondary turns. If the primary voltage is 240 V, what is the secondary voltage?",24 V,2400 V,120 V,10 V,B,Physics,Medium
A mass of 0.5 kg attached to a spring with k = 50 N/m undergoes simple harmonic motion. What is its angular frequency?,0.1 rad/s,100 rad/s,10 rad/s,5 rad/s,C,Physics,Medium
A simple pendulum has a length of 1 meter. What is its approximate period on Earth? (Use g = pi^2 m/s^2),1 second,3.14 seconds,0.5 seconds,2 seconds,D,Physics,Medium
A wave has a frequency of 50 Hz and a wavelength of 6 meters. What is its speed?,300 m/s,8.33 m/s,0.12 m/s,56 m/s,A,Physics,Medium
A sound source moving toward a stationary observer at 34 m/s emits a 1000 Hz tone. What frequency is heard? (Speed of sound = 340 m/s),900 Hz,1111 Hz,1000 Hz,1100 Hz,B,Physics,Medium
Light travels from air (n=1) into water (n=1.33) at an angle of 30 degrees to the normal. The angle of refraction is?,Greater than 30 degrees,Equal to 30 degrees,Less than 30 degrees,Zero degrees,C,Physics,Medium
"In Young's double slit experiment, if the slit separation is doubled, what happens to the fringe width?",It halves,It doubles,It quadruples,It remains unchanged,A,Physics,Medium
What is the energy of a photon with a frequency of 10^15 Hz? (h = 6.63 x 10^-34 J s),6.63 x 10^-19 J,6.63 x 10^-49 J,1.5 x 10^15 J,6.63 x 10^-15 J,B,Physics,Medium
"If the work function of a metal is 2 eV and it is illuminated by 5 eV photons, what is the maximum kinetic energy of the emitted electrons?",7 eV,2.5 eV,3 eV,10 eV,C,Physics,Medium
A radioactive sample has a half-life of 5 days. What fraction remains after 15 days?,1/3,1/4,1/6,1/8,D,Physics,Medium
A nucleus of U-238 undergoes alpha decay. What is the mass number of the resulting daughter nucleus?,234,238,236,242,A,Physics,Medium
What is the mass defect of a nucleus?,The total mass of its electrons,The difference between the mass of its separated nucleons and its actual mass,The mass lost during beta decay,The mass of a single proton,B,Physics,Medium
A 10 kg box sits on a horizontal floor. The coefficient of static friction is 0.4. What is the minimum horizontal force to start it moving? (g = 10),10 N,400 N,40 N,25 N,C,Physics,Medium
"A roller coaster starts from rest at a height of 20 m. What is its speed at the bottom of the track? (g = 10, ignore friction)",10 m/s,400 m/s,20 m/s,200 m/s,D,Physics,Medium
"Two vectors A and B have magnitudes 3 and 4, respectively, and are perpendicular. What is the magnitude of their sum?",5,7,1,12,A,Physics,Medium
A car accelerates from rest at 2 m/s^2 for 5 seconds. How far does it travel?,10 m,20 m,25 m,50 m,C,Physics,Medium
A ball is thrown vertically upward with a speed of 30 m/s. How high does it go? (g = 10 m/s^2),30 m,60 m,90 m,45 m,D,Physics,Medium
A 2 kg mass is moving uniformly in a circle of radius 2 m at 4 m/s. What is the centripetal force?,8 N,16 N,32 N,4 N,A,Physics,Medium
An object of mass 10 kg rests on an inclined plane of 30 degrees. What is the component of gravity parallel to the plane? (g = 10),86.6 N,50 N,100 N,20 N,B,Physics,Medium
A spring with a constant of 200 N/m is compressed by 0.1 m. How much potential energy is stored?,2 J,10 J,1 J,0.2 J,C,Physics,Medium
A machine lifts a 100 kg box 5 meters vertically in 10 seconds. What is the power output? (g = 10),50 W,5000 W,250 W,500 W,D,Physics,Medium
A 2000 kg car moving at 15 m/s applies the brakes and stops in 5 seconds. What is the average braking force?,6000 N,3000 N,1500 N,12000 N,A,Physics,Medium
A uniform meter stick of mass 0.2 kg is balanced at the 40 cm mark when a mass m is placed at the 10 cm mark. What is m?,0.15 kg,0.067 kg,0.1 kg,0.3 kg,B,Physics,Medium
What is the angular momentum of a 2 kg particle moving at 3 m/s in a circle of radius 4 m?,12 kg m^2/s,6 kg m^2/s,24 kg m^2/s,8 kg m^2/s,C,Physics,Medium
"An open U-tube contains water and a column of oil 10 cm high on one side. If the water is 8 cm higher on that side, what is the oil density?",1250 kg/m^3,1000 kg/m^3,600 kg/m^3,800 kg/m^3,D,Physics,Medium
A hydraulic press has an input piston of area 0.01 m^2 and an output piston of area 0.1 m^2. A 50 N force applied to the input yields what output?,500 N,5 N,50 N,100 N,A,Physics,Medium
What is the root-mean-square speed of O2 molecules (molar mass 32 g/mol) at 300 K? (R = 8.31 J/mol K),Approx 480 m/s,Approx 1500 m/s,Approx 300 m/s,Approx 50 m/s,A,Physics,Medium
Two identical charges experience a repulsive force of 10 N when separated by 1 meter. What is the force if the distance is doubled?,5 N,20 N,2.5 N,1.25 N,C,Physics,Medium
What is the equivalent resistance of two 10 ohm resistors connected in parallel?,20 ohms,10 ohms,0.2 ohms,5 ohms,D,Physics,Medium
An ideal voltmeter is connected across a circuit component. What is its ideal internal resistance?,Infinite,Zero,1 ohm,Variable,A,Physics,Medium
A capacitor has a charge of 10 microC when connected to a 5 V source. What is its capacitance?,50 microF,2 microF,0.5 microF,20 microF,B,Physics,Medium
What is the direction of the magnetic force on a positive charge moving east in a magnetic field pointing north?,Down,West,Up,South,C,Physics,Medium
A circular loop of radius 0.1 m carries a current of 2 A. What is the magnetic field at its center? (mu_0 = 4pi x 10^-7),4pi x 10^-6 T,8pi x 10^-6 T,12.6 x 10^-6 T,4pi x 10^-5 T,D,Physics,Medium
"If the amplitude of a simple harmonic oscillator is doubled, what happens to its total energy?",It quadruples,It doubles,It remains the same,It halves,A,Physics,Medium
What is the resonant frequency of an LC circuit with L = 1 H and C = 1 F?,1 Hz,1 / (2pi) Hz,2pi Hz,0.5 Hz,B,Physics,Medium
A string 2 meters long is fixed at both ends. What is the wavelength of the fundamental standing wave?,1 m,2 m,4 m,0.5 m,C,Physics,Medium
What is the critical angle for a material with an index of refraction of 2.0 surrounded by air?,45 degrees,60 degrees,90 degrees,30 degrees,D,Physics,Medium
An electron accelerates from rest through a potential difference of 100 V. What is its final kinetic energy?,100 eV,100 J,1.6 x 10^-17 eV,1 eV,A,Physics,Medium
